No.	Quantity	Comment	Designator	Footprint	Value	Manufacturer Part	Manufacturer	Supplier Part	Supplier
1	10	CL10A106KP8NNNC	C1,C4,C6,C8,C12,C30,C31,C48,C50,C62	C0603	10uF	CL10A106KP8NNNC	SAMSUNG(三星)	C19702	LCSC
2	4	CL10A105KB8NNNC	C2,C3,C5,C42	C0603	1uF	CL10A105KB8NNNC	SAMSUNG(三星)	C15849	LCSC
3	28	CC0603KRX7R9BB104	C7,C9,C13,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C32,C40,C41,C43,C44,C45,C46,C47,C49,C51,C52,C53,C54,C60,C61	C0603	100nF	CC0603KRX7R9BB104	YAGEO(国巨)	C14663	LCSC
4	2	TCC0603COG220J500CT	C10,C11	C0603	22pF	TCC0603COG220J500CT	CCTC(三环)	C376775	LCSC
5	1	TCC0603COG221J500CT	C63	C0603	220pF	TCC0603COG221J500CT	CCTC(三环)	C376776	LCSC
6	1	USBLC6-2SC6	D1	SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL		USBLC6-2SC6	ST(意法半导体)	C7519	LCSC
7	1	19-217/GHC-YR1S2/3T	D2	LED0603-RD		19-217/GHC-YR1S2/3T	EVERLIGHT(亿光)	C72043	LCSC
8	1	KT-0603R	D3	LED-SMD_L1.6-W0.8-R-RD		KT-0603R	KENTO	C2286	LCSC
9	1	SMD1206P050TF	F1	F1206		SMD1206P050TF		C146251	LCSC
10	1	GZ1608D601TF	FB1	L0603		GZ1608D601TF	Sunlord(顺络)	C1002	LCSC
11	1	TYPE-C-31-M-12	J1	USB-C_SMD-TYPE-C-31-M-12_1		TYPE-C-31-M-12	韩国韩荣	C165948	LCSC
12	2	0603WAF5101T5E	R1,R2	R0603	5.1kΩ	0603WAF5101T5E	UNI-ROYAL(厚声)	C23186	LCSC
13	12	0603WAF1002T5E	R3,R4,R5,R20,R21,R22,R23,R24,R40,R43,R68,R80	R0603	10kΩ	0603WAF1002T5E	UNI-ROYAL(厚声)	C25804	LCSC
14	2	0603WAF1001T5E	R7,R81	R0603	1kΩ	0603WAF1001T5E	UNI-ROYAL(厚声)	C21190	LCSC
15	8	0603WAF330JT5E	R8,R9,R10,R11,R41,R42,R69,R70	R0603	33Ω	0603WAF330JT5E	UNI-ROYAL(厚声)	C23140	LCSC
16	12	0603WAF1000T5E	R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55	R0603	100Ω	0603WAF1000T5E	UNI-ROYAL(厚声)	C22775	LCSC
17	1	0603WAF1003T5E	R61	R0603	100kΩ	0603WAF1003T5E	UNI-ROYAL(厚声)	C25803	LCSC
18	2	PTFR0603B1K00P9	R62,R63	R0603	1kΩ	PTFR0603B1K00P9	RESI(开步睿思)	C328422	LCSC
19	2	PTFR0603B10K0P9	R64,R65	R0603	10kΩ	PTFR0603B10K0P9	RESI(开步睿思)	C328421	LCSC
20	1	TS-1187A-B-A-B	S1	SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5		TS-1187A-B-A-B	XKB Connection(中国星坤)	C318884	LCSC
21	1	GW1N-LV4QN88C6/I5	U1	QFN-88_L10.0-W10.0-P0.40-BL-EP6.75		GW1N-LV4QN88C6/I5	GOWIN(高云)	C31900351	LCSC
22	1	ADC12010CIVYX/NOPB	U2	LQFP-32_L7.0-W7.0-P0.80-LS9.0-TL		ADC12010CIVYX/NOPB	TI(德州仪器)	C2861065	LCSC
23	1	AD8137YRZ-REEL7	U3	SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL		AD8137YRZ-REEL7	ADI(亚德诺)	C31148	LCSC
24	1	CH347T	U4	TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL		CH347T	WCH(南京沁恒)	C5122332	LCSC
25	1	AP2112K-3.3TRG1	U5	SOT-25-5_L2.9-W1.6-P0.95-LS2.8-BL		AP2112K-3.3TRG1	DIODES(美台)	C51118	LCSC
26	1	SGM2037-1.2XN5G/TR	U6	SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR		SGM2037-1.2XN5G/TR	SGMICRO(圣邦微)	C5152759	LCSC
27	1	REF3020AIDBZR	U7	SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR		REF3020AIDBZR	TI(德州仪器)	C26804	LCSC
28	1	LMV321IDBVR	U8	SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR		LMV321IDBVR	TI(德州仪器)	C7972	LCSC
29	1	SX3M10.000B10F20TNN	X1	OSC-SMD_4P-L3.2-W2.5-BL	10MHz	SX3M10.000B10F20TNN	SCTF(星通时频)	C5452682	LCSC
30	1	3225 8M 20PF 10PPM	Y1	CRYSTAL-SMD_4P-L3.2-W2.5-BL	8MHz	3225 8M 20PF 10PPM	SOSET(索斯特)	C5181477	LCSC
