Designator	Device	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Pins	Layer	Rotation	SMD	Comment	Value	Type	Supplier	Datasheet
"C1"	"CL10A106KP8NNNC"	"C0603"	"71.12mm"	"11.938mm"	"71.12mm"	"11.938mm"	"70.42mm"	"11.938mm"	"2"	"T"	"0"	"Yes"	"CL10A106KP8NNNC"	"10uF"	""	"LCSC"	"https://item.szlcsc.com/datasheet/CL10A106KP8NNNC/20411.html"
"C2"	"CL10A105KB8NNNC"	"C0603"	"81.28mm"	"13.208mm"	"81.28mm"	"13.208mm"	"80.58mm"	"13.208mm"	"2"	"T"	"0"	"Yes"	"CL10A105KB8NNNC"	"1uF"	""	"LCSC"	"https://item.szlcsc.com/datasheet/CL10A105KB8NNNC/16531.html"
"C3"	"CL10A105KB8NNNC"	"C0603"	"87.122mm"	"10.414mm"	"87.122mm"	"10.414mm"	"86.422mm"	"10.414mm"	"2"	"T"	"0"	"Yes"	"CL10A105KB8NNNC"	"1uF"	""	"LCSC"	"https://item.szlcsc.com/datasheet/CL10A105KB8NNNC/16531.html"
"C4"	"CL10A106KP8NNNC"	"C0603"	"87.884mm"	"13.462mm"	"87.884mm"	"13.462mm"	"87.184mm"	"13.462mm"	"2"	"T"	"0"	"Yes"	"CL10A106KP8NNNC"	"10uF"	""	"LCSC"	"https://item.szlcsc.com/datasheet/CL10A106KP8NNNC/20411.html"
"C5"	"CL10A105KB8NNNC"	"C0603"	"87.884mm"	"19.05mm"	"87.884mm"	"19.05mm"	"87.184mm"	"19.05mm"	"2"	"T"	"0"	"Yes"	"CL10A105KB8NNNC"	"1uF"	""	"LCSC"	"https://item.szlcsc.com/datasheet/CL10A105KB8NNNC/16531.html"
"C7"	"CC0603KRX7R9BB104"	"C0603"	"71.882mm"	"17.526mm"	"71.882mm"	"17.526mm"	"71.182mm"	"17.526mm"	"2"	"T"	"0"	"Yes"	"CC0603KRX7R9BB104"	"100nF"	""	"LCSC"	"https://item.szlcsc.com/datasheet/CC0603KRX7R9BB104/15331.html"
"C8"	"CL10A106KP8NNNC"	"C0603"	"71.882mm"	"20.32mm"	"71.882mm"	"20.32mm"	"71.182mm"	"20.32mm"	"2"	"T"	"0"	"Yes"	"CL10A106KP8NNNC"	"10uF"	""	"LCSC"	"https://item.szlcsc.com/datasheet/CL10A106KP8NNNC/20411.html"
"C9"	"CC0603KRX7R9BB104"	"C0603"	"68.58mm"	"18.288mm"	"68.58mm"	"18.288mm"	"67.88mm"	"18.288mm"	"2"	"T"	"0"	"Yes"	"CC0603KRX7R9BB104"	"100nF"	""	"LCSC"	"https://item.szlcsc.com/datasheet/CC0603KRX7R9BB104/15331.html"
"C10"	"TCC0603COG220J500CT"	"C0603"	"78.486mm"	"27.051mm"	"78.486mm"	"27.051mm"	"77.786mm"	"27.051mm"	"2"	"T"	"0"	"Yes"	"TCC0603COG220J500CT"	"22pF"	""	"LCSC"	"https://item.szlcsc.com/datasheet/TCC0603COG220J500CT/349134.html"
"C11"	"TCC0603COG220J500CT"	"C0603"	"73.355mm"	"24.13mm"	"73.355mm"	"24.13mm"	"74.055mm"	"24.13mm"	"2"	"T"	"180"	"Yes"	"TCC0603COG220J500CT"	"22pF"	""	"LCSC"	"https://item.szlcsc.com/datasheet/TCC0603COG220J500CT/349134.html"
"C12"	"CL10A106KP8NNNC"	"C0603"	"63.5mm"	"11.684mm"	"63.5mm"	"11.684mm"	"62.8mm"	"11.684mm"	"2"	"T"	"0"	"Yes"	"CL10A106KP8NNNC"	"10uF"	""	"LCSC"	"https://item.szlcsc.com/datasheet/CL10A106KP8NNNC/20411.html"
"C13"	"CC0603KRX7R9BB104"	"C0603"	"66.548mm"	"13.208mm"	"66.548mm"	"13.208mm"	"65.848mm"	"13.208mm"	"2"	"T"	"0"	"Yes"	"CC0603KRX7R9BB104"	"100nF"	""	"LCSC"	"https://item.szlcsc.com/datasheet/CC0603KRX7R9BB104/15331.html"
"C20"	"CC0603KRX7R9BB104"	"C0603"	"57.404mm"	"26.162mm"	"57.404mm"	"26.162mm"	"56.704mm"	"26.162mm"	"2"	"T"	"0"	"Yes"	"CC0603KRX7R9BB104"	"100nF"	""	"LCSC"	"https://item.szlcsc.com/datasheet/CC0603KRX7R9BB104/15331.html"
"C21"	"CC0603KRX7R9BB104"	"C0603"	"60.452mm"	"26.162mm"	"60.452mm"	"26.162mm"	"59.752mm"	"26.162mm"	"2"	"T"	"0"	"Yes"	"CC0603KRX7R9BB104"	"100nF"	""	"LCSC"	"https://item.szlcsc.com/datasheet/CC0603KRX7R9BB104/15331.html"
"C22"	"CC0603KRX7R9BB104"	"C0603"	"63.5mm"	"26.162mm"	"63.5mm"	"26.162mm"	"62.8mm"	"26.162mm"	"2"	"T"	"0"	"Yes"	"CC0603KRX7R9BB104"	"100nF"	""	"LCSC"	"https://item.szlcsc.com/datasheet/CC0603KRX7R9BB104/15331.html"
"C23"	"CC0603KRX7R9BB104"	"C0603"	"66.548mm"	"26.162mm"	"66.548mm"	"26.162mm"	"65.848mm"	"26.162mm"	"2"	"T"	"0"	"Yes"	"CC0603KRX7R9BB104"	"100nF"	""	"LCSC"	"https://item.szlcsc.com/datasheet/CC0603KRX7R9BB104/15331.html"
"C24"	"CC0603KRX7R9BB104"	"C0603"	"71.12mm"	"33.528mm"	"71.12mm"	"33.528mm"	"71.12mm"	"32.828mm"	"2"	"T"	"90"	"Yes"	"CC0603KRX7R9BB104"	"100nF"	""	"LCSC"	"https://item.szlcsc.com/datasheet/CC0603KRX7R9BB104/15331.html"
"C25"	"CC0603KRX7R9BB104"	"C0603"	"71.12mm"	"37.592mm"	"71.12mm"	"37.592mm"	"71.12mm"	"36.892mm"	"2"	"T"	"90"	"Yes"	"CC0603KRX7R9BB104"	"100nF"	""	"LCSC"	"https://item.szlcsc.com/datasheet/CC0603KRX7R9BB104/15331.html"
"C26"	"CC0603KRX7R9BB104"	"C0603"	"71.12mm"	"41.656mm"	"71.12mm"	"41.656mm"	"71.12mm"	"40.956mm"	"2"	"T"	"90"	"Yes"	"CC0603KRX7R9BB104"	"100nF"	""	"LCSC"	"https://item.szlcsc.com/datasheet/CC0603KRX7R9BB104/15331.html"
"C27"	"CC0603KRX7R9BB104"	"C0603"	"71.12mm"	"45.72mm"	"71.12mm"	"45.72mm"	"71.12mm"	"45.02mm"	"2"	"T"	"90"	"Yes"	"CC0603KRX7R9BB104"	"100nF"	""	"LCSC"	"https://item.szlcsc.com/datasheet/CC0603KRX7R9BB104/15331.html"
"C28"	"CC0603KRX7R9BB104"	"C0603"	"57.404mm"	"41.656mm"	"57.404mm"	"41.656mm"	"56.704mm"	"41.656mm"	"2"	"T"	"0"	"Yes"	"CC0603KRX7R9BB104"	"100nF"	""	"LCSC"	"https://item.szlcsc.com/datasheet/CC0603KRX7R9BB104/15331.html"
