Designator,Pin,Net
C1,1,USB5V
C1,2,GND
C2,1,USB5V
C2,2,GND
C3,1,+3V3
C3,2,GND
C4,1,+3V3
C4,2,GND
C5,1,+3V3
C5,2,GND
C6,1,+1V2
C6,2,GND
C7,1,+3V3
C7,2,GND
C8,1,+3V3
C8,2,GND
C9,1,CH347_RST_N
C9,2,GND
C10,1,CH347_XI
C10,2,GND
C11,1,CH347_XO
C11,2,GND
C12,1,+5VA
C12,2,GND
C13,1,+5VA
C13,2,GND
C20,1,+1V2
C20,2,GND
C21,1,+1V2
C21,2,GND
C22,1,+1V2
C22,2,GND
C23,1,+1V2
C23,2,GND
C24,1,+3V3
C24,2,GND
C25,1,+3V3
C25,2,GND
C26,1,+3V3
C26,2,GND
C27,1,+3V3
C27,2,GND
C28,1,+3V3
C28,2,GND
C29,1,+3V3
C29,2,GND
C30,1,+1V2
C30,2,GND
C31,1,+3V3
C31,2,GND
C32,1,RECONFIG_N
C32,2,GND
C40,1,+3V3
C40,2,GND
C41,1,+5VA
C41,2,GND
C42,1,ADC_VREF
C42,2,GND
C43,1,+5VA
C43,2,GND
C44,1,+5VA
C44,2,GND
C45,1,+5VA
C45,2,GND
C46,1,+5VA
C46,2,GND
C47,1,+5VA
C47,2,GND
C48,1,+5VA
C48,2,GND
C49,1,+3V3
C49,2,GND
C50,1,+3V3
C50,2,GND
C51,1,ADC_VREF
C51,2,GND
C52,1,ADC_VRN
C52,2,GND
C53,1,ADC_VRP
C53,2,GND
C54,1,ADC_VRM
C54,2,GND
C60,1,PULSE_IN
C60,2,PULSE_AC
C61,1,+5VA
C61,2,GND
C62,1,+5VA
C62,2,GND
C63,1,ADC_INP
C63,2,ADC_INN
D1,1,USB_DP_CONN
D1,2,GND
D1,3,USB_DM_CONN
D1,4,USB_DM
D1,5,USB5V
D1,6,USB_DP
D2,1,GND
D2,2,PWR_LED_A
D3,1,STATUS_LED_A
D3,2,GND
F1,1,USB_VBUS_RAW
F1,2,USB5V
FB1,1,USB5V
FB1,2,+5VA
J1,1,GND
J1,2,GND
J1,3,GND
J1,4,GND
J1,B8,
J1,A5,USB_CC1
J1,B7,USB_DM_CONN
J1,A6,USB_DP_CONN
J1,A7,USB_DM_CONN
J1,B6,USB_DP_CONN
J1,A8,
J1,B5,USB_CC2
J1,A1B12,GND
J1,B1A12,GND
J1,B4A9,USB_VBUS_RAW
J1,A4B9,USB_VBUS_RAW
J2,1,PULSE_IN
J2,2,GND
J2,3,GND
J2,4,GND
J2,5,GND
J3,1,+3V3
J3,2,GND
J3,3,JTAG_TMS
J3,4,GND
J3,5,JTAG_TCK
J3,6,GND
J3,7,JTAG_TDI
J3,8,GND
J3,9,JTAG_TDO
J3,10,RECONFIG_N
J4,1,+3V3
J4,2,GND
J4,3,TRIG_OUT
J4,4,FPGA_DONE
J4,5,USER_IN
R1,1,USB_CC1
R1,2,GND
R2,1,USB_CC2
R2,2,GND
R3,1,+3V3
R3,2,CH347_RST_N
R4,1,CH347_CFG0
R4,2,GND
R5,1,CH347_CFG1
R5,2,GND
R7,1,+3V3
R7,2,PWR_LED_A
R8,1,CH_JTAG_TMS
R8,2,JTAG_TMS
R9,1,CH_JTAG_TCK
R9,2,JTAG_TCK
R10,1,CH_JTAG_TDO
R10,2,JTAG_TDO
R11,1,CH_JTAG_TDI
R11,2,JTAG_TDI
R20,1,FPGA_MODE0
R20,2,GND
R21,1,FPGA_MODE1
R21,2,GND
R22,1,JTAGSEL_N
R22,2,GND
R23,1,+3V3
R23,2,RECONFIG_N
R24,1,+3V3
R24,2,FPGA_DONE
R40,1,+3V3
R40,2,OSC_OE
R41,1,OSC_OUT
R41,2,ADC_CLK
R42,1,OSC_OUT
R42,2,FPGA_CLK
R43,1,ADC_PD
R43,2,GND
R44,1,ADC_RAW_D0
R44,2,ADC_D0
R45,1,ADC_RAW_D1
R45,2,ADC_D1
R46,1,ADC_RAW_D2
R46,2,ADC_D2
R47,1,ADC_RAW_D3
R47,2,ADC_D3
R48,1,ADC_RAW_D4
R48,2,ADC_D4
R49,1,ADC_RAW_D5
R49,2,ADC_D5
R50,1,ADC_RAW_D6
R50,2,ADC_D6
R51,1,ADC_RAW_D7
R51,2,ADC_D7
R52,1,ADC_RAW_D8
R52,2,ADC_D8
R53,1,ADC_RAW_D9
R53,2,ADC_D9
R54,1,ADC_RAW_D10
R54,2,ADC_D10
R55,1,ADC_RAW_D11
R55,2,ADC_D11
R60,1,PULSE_IN
R60,2,GND
R61,1,PULSE_AC
R61,2,VCM_BUF
R62,1,PULSE_AC
R62,2,AD_INP_NODE
R63,1,VCM_BUF
R63,2,AD_INN_NODE
R64,1,OUT_N_RAW
R64,2,AD_INP_NODE
R65,1,OUT_P_RAW
R65,2,AD_INN_NODE
R66,1,OUT_N_RAW
R66,2,AD_INP_NODE
R67,1,OUT_P_RAW
R67,2,AD_INN_NODE
R68,1,+5VA
R68,2,AD8137_PD
R69,1,OUT_P_RAW
R69,2,ADC_INN
R70,1,OUT_N_RAW
R70,2,ADC_INP
R80,1,+3V3
R80,2,USER_IN
R81,1,STATUS_LED
R81,2,STATUS_LED_A
S1,1,RECONFIG_N
S1,2,GND
S1,3,RECONFIG_N
S1,4,GND
U1,1,+1V2
U1,2,GND
U1,3,
U1,4,JTAGSEL_N
U1,5,JTAG_TMS
U1,6,JTAG_TCK
U1,7,JTAG_TDI
U1,8,JTAG_TDO
U1,9,RECONFIG_N
U1,10,FPGA_DONE
U1,11,FPGA_CLK
U1,12,+3V3
U1,13,
U1,14,
U1,15,
U1,16,
U1,17,
U1,18,
U1,19,
U1,20,
U1,21,GND
U1,22,+1V2
U1,23,+3V3
U1,24,GND
U1,25,ADC_D0
U1,26,ADC_D1
U1,27,ADC_D2
U1,28,ADC_D3
U1,29,ADC_D4
U1,30,ADC_D5
U1,31,ADC_D6
U1,32,ADC_D7
U1,33,ADC_D8
U1,34,ADC_D9
U1,35,
U1,36,
U1,37,ADC_D10
U1,38,ADC_D11
U1,39,
U1,40,
U1,41,
U1,42,
U1,43,GND
U1,44,+3V3
U1,45,+1V2
U1,46,GND
U1,47,
U1,48,
U1,49,
U1,50,
U1,51,
U1,52,
U1,53,
U1,54,
U1,55,
U1,56,
U1,57,
U1,58,+3V3
U1,59,
U1,60,
U1,61,
U1,62,
U1,63,
U1,64,+3V3
U1,65,GND
U1,66,+1V2
U1,67,+3V3
U1,68,FPGA_RX
