Designator,Mid X,Mid Y,Layer,Rotation
C10,38.250mm,33.200mm,Top,90.0
C11,49.000mm,30.000mm,Top,0.0
C12,52.500mm,30.000mm,Top,0.0
C13,56.000mm,30.000mm,Top,0.0
C14,59.500mm,30.000mm,Top,0.0
C15,63.000mm,30.000mm,Top,0.0
C16,66.500mm,30.000mm,Top,0.0
C17,70.000mm,30.000mm,Top,0.0
C18,47.000mm,57.000mm,Top,0.0
C19,50.500mm,57.000mm,Top,0.0
C2,34.200mm,39.500mm,Top,0.0
C20,54.000mm,57.000mm,Top,0.0
C21,57.500mm,59.500mm,Top,0.0
C22,61.000mm,57.000mm,Top,0.0
C23,64.500mm,57.000mm,Top,0.0
C24,68.000mm,57.000mm,Top,0.0
C25,51.000mm,26.000mm,Top,0.0
C26,56.000mm,26.000mm,Top,0.0
C27,61.000mm,26.000mm,Top,0.0
C28,36.000mm,53.000mm,Top,0.0
C29,41.000mm,53.000mm,Top,0.0
C30,44.000mm,32.500mm,Top,0.0
C31,47.000mm,32.500mm,Top,0.0
C32,36.500mm,46.800mm,Top,0.0
C33,35.500mm,55.300mm,Top,0.0
C34,38.700mm,55.300mm,Top,0.0
C35,36.500mm,49.300mm,Top,0.0
C36,41.900mm,55.300mm,Top,0.0
C37,45.100mm,55.300mm,Top,0.0
C38,66.550mm,64.550mm,Top,90.0
C39,76.500mm,61.000mm,Top,90.0
C40,55.500mm,62.000mm,Top,0.0
C41,55.500mm,66.000mm,Top,0.0
C42,24.000mm,28.000mm,Top,90.0
C5,33.000mm,48.000mm,Top,0.0
C6,28.500mm,48.500mm,Top,0.0
C7,34.000mm,43.500mm,Top,0.0
C8,31.500mm,52.000mm,Top,0.0
C9,35.500mm,33.200mm,Top,90.0
D6,77.000mm,57.000mm,Top,0.0
D7,76.000mm,65.000mm,Top,0.0
F1,72.000mm,57.000mm,Top,0.0
FB1,46.000mm,61.000mm,Top,0.0
FB2,42.000mm,61.000mm,Top,0.0
FB3,50.000mm,61.000mm,Top,0.0
FB4,38.000mm,61.000mm,Top,0.0
L1,62.500mm,64.000mm,Top,180.0
R10,33.500mm,35.800mm,Top,0.0
R11,22.900mm,46.500mm,Top,0.0
R12,36.000mm,29.000mm,Top,0.0
R13,41.000mm,29.000mm,Top,0.0
R14,34.000mm,24.000mm,Top,0.0
R15,32.800mm,26.500mm,Top,0.0
R16,40.750mm,33.000mm,Top,90.0
R2,17.800mm,35.000mm,Top,90.0
R3,25.500mm,40.000mm,Top,0.0
R33,73.000mm,26.000mm,Top,0.0
R34,78.000mm,26.000mm,Top,0.0
R35,74.500mm,30.000mm,Top,0.0
R36,74.500mm,33.000mm,Top,0.0
R37,74.500mm,49.000mm,Top,0.0
R38,78.500mm,50.000mm,Top,0.0
R39,74.500mm,53.000mm,Top,0.0
R4,25.500mm,35.200mm,Top,0.0
R40,74.500mm,37.000mm,Top,0.0
R41,74.500mm,41.000mm,Top,0.0
R42,79.500mm,29.000mm,Top,0.0
R43,79.500mm,35.000mm,Top,0.0
R44,79.500mm,41.000mm,Top,0.0
R45,79.500mm,47.000mm,Top,0.0
R46,25.800mm,45.300mm,Top,90.0
R47,25.500mm,32.800mm,Top,0.0
R5,25.500mm,42.400mm,Top,0.0
R6,25.500mm,37.600mm,Top,0.0
R7,30.000mm,44.700mm,Top,180.0
R8,30.000mm,32.800mm,Top,180.0
R9,33.500mm,41.200mm,Top,0.0
RN1,46.500mm,37.000mm,Top,0.0
RN2,46.500mm,40.800mm,Top,0.0
RN3,46.500mm,44.600mm,Top,0.0
RN4,46.500mm,48.400mm,Top,0.0
U1,60.000mm,44.000mm,Top,270.0
U2,40.000mm,40.000mm,Top,270.0
U3,30.000mm,38.500mm,Top,90.0
U4,70.200mm,64.000mm,Top,180.0
Y1,28.000mm,27.000mm,Top,0.0
