Designator,Mid X,Mid Y,Layer,Rotation
C10,38.250mm,33.200mm,Top,90.0
C11,49.000mm,30.000mm,Top,0.0
C12,52.500mm,30.000mm,Top,0.0
C13,56.000mm,30.000mm,Top,0.0
C14,59.500mm,30.000mm,Top,0.0
C15,63.000mm,30.000mm,Top,0.0
C16,66.500mm,30.000mm,Top,0.0
C17,70.000mm,30.000mm,Top,0.0
C18,47.000mm,57.000mm,Top,0.0
C19,50.500mm,57.000mm,Top,0.0
C2,34.200mm,39.500mm,Top,0.0
C20,54.000mm,57.000mm,Top,0.0
C21,57.500mm,59.500mm,Top,0.0
C22,61.000mm,57.000mm,Top,0.0
C23,64.500mm,57.000mm,Top,0.0
C24,68.000mm,57.000mm,Top,0.0
C30,44.000mm,32.500mm,Top,0.0
C31,47.000mm,32.500mm,Top,0.0
C32,36.500mm,46.800mm,Top,0.0
C33,35.500mm,55.300mm,Top,0.0
C34,38.700mm,55.300mm,Top,0.0
C35,36.500mm,49.300mm,Top,0.0
C36,41.900mm,55.300mm,Top,0.0
C37,45.100mm,55.300mm,Top,0.0
C38,66.550mm,64.550mm,Top,90.0
C42,24.000mm,28.000mm,Top,90.0
C5,33.000mm,48.000mm,Top,0.0
C7,34.000mm,43.500mm,Top,0.0
C9,35.500mm,33.200mm,Top,90.0
RN1,46.500mm,37.000mm,Top,0.0
RN2,46.500mm,40.800mm,Top,0.0
RN3,46.500mm,44.600mm,Top,0.0
RN4,46.500mm,48.400mm,Top,0.0
U1,60.000mm,44.000mm,Top,270.0
U2,40.000mm,40.000mm,Top,270.0
U3,30.000mm,38.500mm,Top,90.0
U4,70.200mm,64.000mm,Top,180.0
Y1,28.000mm,27.000mm,Top,0.0
