Reference,Pin,Net
A1,,
A1,,
A1,,
A1,,
A1,1,HOST_D0
A1,2,HOST_D1
A1,3,GND
A1,4,HOST_D2
A1,5,HOST_D3
A1,6,HOST_D4
A1,7,HOST_D5
A1,8,GND
A1,9,HOST_D6
A1,10,HOST_D7
A1,11,HOST_WR
A1,12,HOST_RD
A1,13,GND
A1,14,HOST_CS
A1,15,HOST_IRQ
A1,16,HOST_SCK
A1,17,HOST_MOSI
A1,18,GND
A1,19,HOST_MISO
A1,20,HOST_AUX
A1,21,FPGA_RESET_N
A1,22,EXT_TRIG
A1,23,GND
A1,24,
A1,25,
A1,26,
A1,27,
A1,28,GND
A1,29,
A1,30,
A1,31,
A1,32,
A1,33,GND
A1,34,
A1,35,
A1,36,
A1,37,
A1,38,GND
A1,39,
A1,40,VBUS
C1,1,AFE_IN
C1,2,AFE_AC
C2,1,ADC_INP
C2,2,ADC_INM
C5,1,5VA
C5,2,GND
C6,1,5VA
C6,2,GND
C7,1,ADC_VCM
C7,2,GND
C8,1,ADC_VCM
C8,2,GND
C9,1,ADC_CLKM
C9,2,GND
C10,1,CLK40_RAW
C10,2,ADC_CLKP
C11,1,3V3_D
C11,2,GND
C12,1,3V3_D
C12,2,GND
C13,1,3V3_D
C13,2,GND
C14,1,3V3_D
C14,2,GND
C15,1,3V3_D
C15,2,GND
C16,1,3V3_D
C16,2,GND
C17,1,3V3_D
C17,2,GND
C18,1,3V3_D
C18,2,GND
C19,1,3V3_D
C19,2,GND
C20,1,3V3_D
C20,2,GND
C21,1,3V3_FPGA_A
C21,2,GND
C22,1,3V3_FPGA_A
C22,2,GND
C23,1,3V3_FPGA_A
C23,2,GND
C24,1,3V3_FPGA_A
C24,2,GND
C25,1,3V3_D
C25,2,GND
C26,1,3V3_FPGA_A
C26,2,GND
C27,1,3V3_D
C27,2,GND
C28,1,3V3_A
C28,2,GND
C29,1,3V3_D
C29,2,GND
C30,1,3V3_A
C30,2,GND
C31,1,3V3_D
C31,2,GND
C32,1,3V3_A
C32,2,GND
C33,1,3V3_A
C33,2,GND
C34,1,3V3_A
C34,2,GND
C35,1,3V3_A
C35,2,GND
C36,1,3V3_D
C36,2,GND
C37,1,3V3_D
C37,2,GND
C38,1,BUCK_BST
C38,2,BUCK_SW
C39,1,5V_FUSED
C39,2,GND
C40,1,3V3_RAW
C40,2,GND
C41,1,3V3_RAW
C41,2,GND
C42,1,3V3_D
C42,2,GND
D1,1,GND
D1,2,AFE_IN
D2,1,LED_R1
D2,2,3V3_D
D3,1,LED_R2
D3,2,FPGA_RUN
D4,1,LED_R3
D4,2,FPGA_TRIG
D5,1,LED_R4
D5,2,FPGA_SAT
D6,1,5V_FUSED
D6,2,USB_5V_PROTECTED
D7,1,5V_FUSED
D7,2,ALT_5V_IN
F1,1,VBUS
F1,2,USB_5V_PROTECTED
FB1,1,3V3_RAW
FB1,2,3V3_D
FB2,1,3V3_RAW
FB2,2,3V3_A
FB3,1,3V3_RAW
FB3,2,3V3_FPGA_A
FB4,1,5V_FUSED
FB4,2,5VA
H1,,
H2,,
