Signal,MAX10 package pin,I/O standard,Notes
FPGA_ADC_D15,38,3.3-V LVCMOS,Must pass Quartus legality compile before release
FPGA_ADC_D14,39,3.3-V LVCMOS,Must pass Quartus legality compile before release
FPGA_ADC_D13,41,3.3-V LVCMOS,Must pass Quartus legality compile before release
FPGA_ADC_D12,43,3.3-V LVCMOS,Must pass Quartus legality compile before release
FPGA_ADC_D11,44,3.3-V LVCMOS,Must pass Quartus legality compile before release
FPGA_ADC_D10,45,3.3-V LVCMOS,Must pass Quartus legality compile before release
FPGA_ADC_D9,46,3.3-V LVCMOS,Must pass Quartus legality compile before release
FPGA_ADC_D8,47,3.3-V LVCMOS,Must pass Quartus legality compile before release
FPGA_ADC_D7,50,3.3-V LVCMOS,Must pass Quartus legality compile before release
FPGA_ADC_D6,52,3.3-V LVCMOS,Must pass Quartus legality compile before release
FPGA_ADC_D5,54,3.3-V LVCMOS,Must pass Quartus legality compile before release
FPGA_REFCLK,56,3.3-V LVCMOS,Must pass Quartus legality compile before release
FPGA_ADCCLK,58,3.3-V LVCMOS,Must pass Quartus legality compile before release
FPGA_ADC_D3,59,3.3-V LVCMOS,Must pass Quartus legality compile before release
FPGA_ADC_D2,60,3.3-V LVCMOS,Must pass Quartus legality compile before release
FPGA_ADC_D1,61,3.3-V LVCMOS,Must pass Quartus legality compile before release
FPGA_ADC_D0,62,3.3-V LVCMOS,Must pass Quartus legality compile before release
FPGA_ADC_D4,64,3.3-V LVCMOS,Must pass Quartus legality compile before release
ADC_OVR,69,3.3-V LVCMOS,Must pass Quartus legality compile before release
HOST_D7,74,3.3-V LVCMOS,Must pass Quartus legality compile before release
HOST_D6,75,3.3-V LVCMOS,Must pass Quartus legality compile before release
HOST_D5,76,3.3-V LVCMOS,Must pass Quartus legality compile before release
HOST_D4,77,3.3-V LVCMOS,Must pass Quartus legality compile before release
HOST_D3,78,3.3-V LVCMOS,Must pass Quartus legality compile before release
HOST_D2,79,3.3-V LVCMOS,Must pass Quartus legality compile before release
HOST_D1,80,3.3-V LVCMOS,Must pass Quartus legality compile before release
HOST_D0,81,3.3-V LVCMOS,Must pass Quartus legality compile before release
HOST_WR,84,3.3-V LVCMOS,Must pass Quartus legality compile before release
HOST_RD,85,3.3-V LVCMOS,Must pass Quartus legality compile before release
HOST_CS,86,3.3-V LVCMOS,Must pass Quartus legality compile before release
HOST_IRQ,87,3.3-V LVCMOS,Must pass Quartus legality compile before release
HOST_SCK,88,3.3-V LVCMOS,Must pass Quartus legality compile before release
HOST_MOSI,89,3.3-V LVCMOS,Must pass Quartus legality compile before release
HOST_MISO,90,3.3-V LVCMOS,Must pass Quartus legality compile before release
HOST_AUX,91,3.3-V LVCMOS,Must pass Quartus legality compile before release
FPGA_RESET_N,92,3.3-V LVCMOS,Must pass Quartus legality compile before release
EXT_TRIG,93,3.3-V LVCMOS,Must pass Quartus legality compile before release
FPGA_RUN,110,3.3-V LVCMOS,Must pass Quartus legality compile before release
FPGA_TRIG,111,3.3-V LVCMOS,Must pass Quartus legality compile before release
FPGA_SAT,120,3.3-V LVCMOS,Must pass Quartus legality compile before release
